id	title	author	source	primaryCategory	tags	relativePath
a4f4515101cf0417	الأصالة والحداثة في الشعر العربي الحديث	د. إبراهيم بن عبد الرحيم السعافين	مجلة الآداب - جامعة الملك سعود (السعودية)	references	شعر وأدب	مجلة الآداب - جامعة الملك سعود (السعودية)/2/2/5 الأصالة والحداثة في الشعر العربي الحديث.pdf
8007cbcf2e5e08ee	الاغتراب في ديوان السيد/ هلال بن بدر البوسعيدي	د. إحسان بن صادق اللواتي	مجلة الآداب - جامعة الملك سعود (السعودية)	diwans	ديوان شعري | شعر وأدب	مجلة الآداب - جامعة الملك سعود (السعودية)/23/2/1 الاغتراب في ديوان السيد& هلال بن بدر البوسعيدي.pdf
27934843a3f9ff0d	البصمة الدينية في أدب ما بعد الجاهلية: مساهمةٌ في جدلية إضعاف الإسلام الشعرَ	أ. د. عبير بنت عبد الله العباسي	مجلة الآداب - جامعة الملك سعود (السعودية)	references	شعر وأدب	مجلة الآداب - جامعة الملك سعود (السعودية)/24/2/6 البصمة الدينية في أدب ما بعد ... مساهمةٌ في جدلية إضعاف الإسلام الشعرَ.pdf
6379e7ab57febdea	التحليل السيميائي للصورة البصرية في الخطاب الإعلامي لصحيفة الرياض الرقمية، وأوجه تعالقه مع العلامة اللغوية	د. أروى بنت محمد الملا	مجلة الآداب - جامعة الملك سعود (السعودية)	references	دراسات لغوية	مجلة الآداب - جامعة الملك سعود (السعودية)/36/4/1 التحليل السيميائي للصورة البصرية في الخطاب ... الرقمية، وأوجه تعالقه مع العلامة اللغوية.pdf
fde0885df19072b7	التدوير وبحور الشعر	د. أبو فراس النطافي	مجلة الآداب - جامعة الملك سعود (السعودية)	references	شعر وأدب	مجلة الآداب - جامعة الملك سعود (السعودية)/6/2/4 التدوير وبحور الشعر.pdf
b7df4cf9d29c44f6	الترتيب الأبجدي بين اللغة العربية واللغات الأوربية	د. حسان بن عبد الله الغنيمان	مجلة الآداب - جامعة الملك سعود (السعودية)	references	دراسات لغوية	مجلة الآداب - جامعة الملك سعود (السعودية)/30/2/2 الترتيب الأبجدي بين اللغة العربية واللغات الأوربية.pdf
59c0d99374c8b305	التشكيل اللساني للصورة الشعرية في ديوان/ ابن حمديس الصقلي	مليكة بوراوي	مجلة الآداب - جامعة الملك سعود (السعودية)	diwans	ديوان شعري | شعر وأدب	مجلة الآداب - جامعة الملك سعود (السعودية)/28/1/2 التشكيل اللساني للصورة الشعرية في ديوان& ابن حمديس الصقلي.pdf
b714e0d916d1a9ee	التصور الاستعاري (الحياة سفر) في ديوان: (عذاب السنين)، لحمد الحجي	د. معاذ بن سليمان الدخيل، د. محمد الناصر كحولي	مجلة الآداب - جامعة الملك سعود (السعودية)	diwans	ديوان شعري | شعر وأدب	مجلة الآداب - جامعة الملك سعود (السعودية)/33/1/4 التصور الاستعاري (الحياة سفر) في ديوان$ (عذاب السنين)، لحمد الحجي.pdf
315a06fab19762db	التضمين في النحو العربي	د. منيرة بنت محمود الحمد	مجلة الآداب - جامعة الملك سعود (السعودية)	references	نحو	مجلة الآداب - جامعة الملك سعود (السعودية)/5/2/3 التضمين في النحو العربي.pdf
63d92944d36227d0	التعارض بين تأويل المعنى وتقدير الإعراب في النحو العربي	أ. د. صاحب بن جعفر أبو جناح	مجلة الآداب - جامعة الملك سعود (السعودية)	references	نحو	مجلة الآداب - جامعة الملك سعود (السعودية)/8/1/3 التعارض بين تأويل المعنى وتقدير الإعراب في النحو العربي.pdf
